topic_no,1979_prop,2019_prop,abs_change,abs_change_percent,overall_change,max_ascent_percent,max_descent_percent
62,0.009268182452143022,0.008844051135621285,-0.0004241313165217371,-4.576208104574678,0.008996219711442932,0.23533147343264663,0.22460515588881397
63,0.007848117796331171,0.010616627644437904,0.002768509848106733,35.27609956875205,0.006253004200757618,0.3761945545673174,0.040284547164032874
64,0.010107019763604513,0.009107140474081267,-0.000999879289523246,-9.892919108794288,0.005941864199450078,0.06457887568934036,0.1422396556155066
65,0.00949856880321729,0.009013856007569097,-0.00048471279564819315,-5.103008734158082,0.004300586372594605,0.04403775720378976,0.06259096283405952
66,0.00941054392714489,0.00924271750398525,-0.0001678264231596404,-1.7833870651784742,0.004889064810599824,0.093041469585595,0.11966690147042193
67,0.010671944845724464,0.01011838543350968,-0.0005535594122147835,-5.187052783884634,0.008792804539193079,0.09864074151356127,0.10689356965836408
68,0.01062982406433766,0.011377801095181266,0.0007479770308436058,7.036589000122947,0.009270957117295378,0.17929965410837279,0.09237157301593912
69,0.009808222900026317,0.009036672511104097,-0.0007715503889222201,-7.866362712047968,0.007314349141795011,0.14278413776719565,0.17433036463958465
70,0.007195223389759739,0.010461606229449411,0.003266382839689672,45.39654521829575,0.008894445410105003,0.5335140002196024,0.06781414622220924
71,0.009449823277955153,0.009544502723472459,9.467944551730563e-05,1.0019176309696378,0.010687569859681766,0.20971979319802483,0.1453247095545446
72,0.007690111170538691,0.0111725381363421,0.003482426965803409,45.284481440851074,0.009074925094570975,0.5846802611108539,0.08206764407638986
73,0.009477850139688415,0.01231605866970985,0.0028382085300214348,29.945699585779074,0.0069276678143434176,0.2996371623701753,0.042794392179981086
74,0.009504519650651156,0.011586893482929798,0.002082373832278642,21.909301141125827,0.008415381679171946,0.21909301141125825,0.09545888568096557
75,0.008418684806256004,0.01139287833419731,0.002974193527941307,35.32848178056454,0.011129342799987141,0.646863290737779,0.11600516866875502
76,0.010472428120808367,0.009759425658808534,-0.0007130024619998333,-6.808377711212178,0.004410727161999051,0.07519076399658879,0.13325499614240094
